Field_1,Field_2,Field_3,x,y
신세계백화점,강남점,서울특별시 서초구 신반포로 176(반포동),127.003097,37.504167
신세계백화점,영등포점,서울특별시 영등포구 영등포동 4가 (영종로 9),126.90356,37.517891
신세계백화점,인천점,인천광역시 남구 연남로 35(관교동),126.701583,37.440887
신세계백화점,마산점,경남 창원시 마산합포구 합포로 251,128.58637,35.219744
신세계백화점,광주신세계,광주광역시  서구 무진대로 932,126.882602,35.160141
신세계백화점,수지점,경기도 용인시 수지구 포은대로 536 (죽전동),127.107482,37.32487
신세계백화점,센텀시티,부산광역시 해운대구 센텀남대로 35/ 센텀4로 15(우동),129.129685,35.16886
신세계백화점,천안점,충남 천안시 동남구 신부동 만남로 43,127.155894,36.820002
신세계백화점,의정부점,경기 의정부시 평화로 525(의정부동),127.046104,37.737818
신세계백화점,김해점,경상남도 김해시 김해대로 2232,128.872232,35.229344
신세계백화점,하남점,경기도 하남시 미사대로 750번지,127.223728,37.545434
신세계백화점,대구점,대구광역시 동구 동부로 149 (신천동),128.628924,35.877904
롯데백화점,중동점,경기도 부천시 길주로 300,126.775295,37.502539
롯데백화점,부평점,인천광역시 부평구 부평문화로 35,126.719568,37.49355
롯데백화점,김포공항점,서울특별시 강서구 하늘길 77,126.79898,37.560916
롯데백화점,인천점,인천광역시 남동구 예술로 148,126.701326,37.447236
롯데백화점,영등포점,서울특별시 영등포구 경인로 846,126.90815,37.515762
롯데백화점,관악점,서울특별시 관악구 봉천로 209,126.924982,37.490525
롯데백화점,일산점,경기도 고양시 일산도구 중앙로 1283,126.832192,37.658514
롯데백화점,안양점,경기도 안양시 만안구 만안로 232,126.92321,37.401188
롯데백화점,서울본점,서울트별시 중구 남대문로 81,126.977863,37.566412
롯데백화점,평촌점,경기도 안양시 동안구 시민대로 180,126.950405,37.389989
롯데백화점,안산점,경기도 안산시 단원구 고잔1길 12,126.834481,37.317963
롯데백화점,강남점,서울특별시 강남구 도곡로 401,127.053698,37.497096
롯데백화점,청량리점,서울특별시 동대문구 왕산로 205,127.045573,37.5809
롯데백화점,미아점,서울특별시 강북구 도봉로 62,127.030508,37.614593
롯데백화점,건대스타시티점,서울특별시 광진구 능동로 92,127.071307,37.53899
롯데백화점,잠실점,서울특별시 송파구 올림픽로 240,127.097827,37.511083
롯데백화점,노원점,서울특별시 노원구 동일로 1414,127.061463,37.655263
롯데백화점,수원점,경기도 수원시 권선구 세화로 134,126.99725,37.264182
롯데백화점,분당점,경기도 성남시 분당구 황새울로200번길 45,127.114311,37.378454
롯데백화점,구리점,경기도 구리시 경춘로 261,127.143777,37.602728
롯데백화점,대전점,대전광역시 서구 계룡로 598,127.38955,36.34069
롯데백화점,전주점,전라북도 전주시 완산구 온고을로 2,127.121841,35.83443
롯데백화점,대구점,대구광역시 북구 태평로 161,128.596172,35.875872
롯데백화점,상인점,대구광역시 달서구 월배로 232,128.538841,35.818819
롯데백화점,광주점,광주광역시 동구 독립로 268,126.912169,35.154569
롯데백화점,포항로,경상북도 포항시 북구 학산로 62,129.369468,36.049631
롯데백화점,마산점,경상남도 창원시 마산합포구 동서동로 18,128.573544,35.201552
롯데백화점,창원점,경상남도 창원시 성산구 중앙대로 124,128.681821,35.224554
롯데백화점,울산점,울산광역시 남구 삼산로 288,129.338728,35.537951
롯데백화점,동래점,부산광역시 동래구 중앙대로 1393,129.077493,35.211682
롯데백화점,센트럴스퀘어점,부산광역시 부산진구 중앙대로 666번길 50,129.061092,35.151443
롯데백화점,센텀시티점,부산광역시 해운대구 센텀남대로 59,129.131059,35.169794
롯데백화점,광복점,부산광역시 중구 중앙대로 2,129.036769,35.098391
롯데백화점,부산본점,부산광역시 부산진구 가야대로 772,129.056519,35.15682
